P_City,SaleDate,TotalSales,Cum_Sales
" ANTIOCH",2013-10-04,416000,150474745
" ANTIOCH",2013-10-07,5754204,156228949
" ANTIOCH",2013-10-08,675313,156904262
" ANTIOCH",2013-10-09,339585,157243847
" ANTIOCH",2013-10-10,350807,157594654
" ANTIOCH",2013-10-11,1625544,159220198
" ANTIOCH",2013-10-14,220000,159440198
" ANTIOCH",2013-10-15,507390,159947588
" ANTIOCH",2013-10-16,256000,160203588
" ANTIOCH",2013-10-17,419700,160623288
" ANTIOCH",2013-10-18,1557700,162180988
" ANTIOCH",2013-10-21,419500,162600488
" ANTIOCH",2013-10-23,329300,162929788
" ANTIOCH",2013-10-25,559708,163489496
" ANTIOCH",2013-10-28,322500,163811996
" ANTIOCH",2013-10-29,1124661,164936657
" ANTIOCH",2013-10-30,2170542,167107199
" ANTIOCH",2013-10-31,1672790,168779989
" ANTIOCH",2013-11-01,255900,169035889
" ANTIOCH",2013-11-04,323900,169359789
" ANTIOCH",2013-11-05,110000,169469789
" ANTIOCH",2013-11-06,726088,170195877
" ANTIOCH",2013-11-07,608000,170803877
" ANTIOCH",2013-11-08,687947,171491824
" ANTIOCH",2013-11-11,245000,171736824
" ANTIOCH",2013-11-12,671425,172408249
" ANTIOCH",2013-11-13,518900,172927149
" ANTIOCH",2013-11-14,1046953,173974102
" ANTIOCH",2013-11-15,867200,174841302
" ANTIOCH",2013-11-18,437900,175279202
" ANTIOCH",2013-11-19,106000,175385202
" ANTIOCH",2013-11-20,332500,175717702
" ANTIOCH",2013-11-21,115000,175832702
" ANTIOCH",2013-11-22,1096600,176929302
" ANTIOCH",2013-11-25,1029000,177958302
" ANTIOCH",2013-11-26,1161572,179119874
" ANTIOCH",2013-11-27,2178800,181298674
" ANTIOCH",2013-12-02,854490,182153164
" ANTIOCH",2013-12-03,5508100,187661264
" ANTIOCH",2013-12-04,664390,188325654
" ANTIOCH",2013-12-05,407800,188733454
" ANTIOCH",2013-12-06,1418780,190152234
" ANTIOCH",2013-12-09,138000,190290234
" ANTIOCH",2013-12-10,1301725,191591959
" ANTIOCH",2013-12-11,643900,192235859
" ANTIOCH",2013-12-12,337000,192572859
" ANTIOCH",2013-12-13,1199850,193772709
" ANTIOCH",2013-12-16,426000,194198709
" ANTIOCH",2013-12-17,407500,194606209
" ANTIOCH",2013-12-18,726500,195332709
" ANTIOCH",2013-12-19,284900,195617609
" ANTIOCH",2013-12-20,800300,196417909
